CLASS NAME,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
3D Game Dev w/ Unity and Unreal,Unity,Unreal,,,,,,,,,,,,,
Android Apps & Arduino,Android Studio,Arduino,Adafruit,,,,,,,,,,,,
BattleBot Robotics & 3D Game Dev,Mindstorm Robotics,Unity,,,,,,,,,,,,,
"Code Academy: Advanced Apps, AI & Autonomous Cars",Android Studio,Python,Machine Learning,Altino,,,,,,,,,,,
"Code Academy: Advanced Apps, Arduino & Robotics",Android Studio,Arduino,Mindstorm Robotics,Adafruit,,,,,,,,,,,
Code Academy: AI & Autonomous Cars,Python,Machine Learning,Altino,,,,,,,,,,,,
Code Academy: AI & Autonomous Cars (Grades 7-12),Python,Machine Learning,Altino,,,,,,,,,,,,
Code Academy: Android Apps & Arduino,Android Studio,Arduino,Adafruit,,,,,,,,,,,,
Code Academy: Android Apps & Arduino (Grades 4-6),Android Studio,Arduino,Adafruit,,,,,,,,,,,,
Code Academy: App & Game Dev,Gamemaker Studio,MIT App Inventor,,,,,,,,,,,,,
"Code Academy: App & Game Dev
(Grades: 3, 4, 5)",Gamemaker Studio,MIT App Inventor,,,,,,,,,,,,,
"Code Academy: App & Game Dev
(Grades: 6, 7, 8)",Gamemaker Studio,MIT App Inventor,,,,,,,,,,,,,
Code Academy: App & Game Development,Gamemaker Studio,MIT App Inventor,,,,,,,,,,,,,
Code Academy: Python & C Programming,Esplora,Python,,,,,,,,,,,,,
Code Academy: Python & C Programming (Grades 4-6),Esplora,Python,,,,,,,,,,,,,
Code Academy: Tech Titans,Mindstorm Robotics,Adafruit,Gamemaker Studio,Python,MIT App Inventor,,,,,,,,,,
Code Academy: Tech University,Mindstorm Robotics,Dash,Kodu,Scratch,,,,,,,,,,,
"Code Academy: Web Dev, IT & Cybersecurity (Grades 4-6)",HTML,Minecraft Hacking,PC Architect,,,,,,,,,,,,
Code Academy:Tech University (Grades 4-6),Mindstorm Robotics,Dash,Kodu,Scratch,,,,,,,,,,,
Engineering & Robotics: LEGO BattleBots,Mindstorm Robotics,,,,,,,,,,,,,,
Engineering & Robotics: Lego BattleBots (Grades 7-12),Mindstorm Robotics,,,,,,,,,,,,,,
Engineering & Robotics: Lego Superhero City (Grades 1-3),Superhero Engineering,,,,,,,,,,,,,,
Engineering & Robotics: Robo Revolution,Mindstorm Robotics,Drones,,,,,,,,,,,,,
Engineering & Robotics: Robo Revolution (Grades 4-6),Mindstorm Robotics,Drones,,,,,,,,,,,,,
Engineering & Robotics: Robo Revolution (Grades 7-12),Mindstorm Robotics,Drones,,,,,,,,,,,,,
"Engineering & Robotics: Robo Revolution (Grades: 3,4,5)",Mindstorm Robotics,Drones,,,,,,,,,,,,,
"Engineering & Robotics: Robo Revolution (Grades: 6,7,8)",Mindstorm Robotics,Drones,,,,,,,,,,,,,
"Engineering & Robotics: VEX Bot Sports (Grades: 3, 4, 5)",VEX,,,,,,,,,,,,,,
"Engineering & Robotics: VEX Bot Sports (Grades: 6,7,8)",VEX,,,,,,,,,,,,,,
Engineering & Robotics: VEX BotSports,VEX,,,,,,,,,,,,,,
Engineering & Robotics:Lego Battlebots,Mindstorm Robotics,,,,,,,,,,,,,,
Game Dev w/ Uniy & Unreal,Unity,Unreal,,,,,,,,,,,,,
GameMaker: 2D & 3D Game Dev,Gamemaker Studio,Unity,,,,,,,,,,,,,
GameMaker: 2D Game Dev,Stencyl,Gamemaker Studio,,,,,,,,,,,,,
GameMaker: 3D Animation & Design with Autodesk Maya,Maya,Maya Animation,,,,,,,,,,,,,
Gamemaker: 3D Animation & Design with Autodesk Maya(Grades 7-12),Maya,Maya Animation,,,,,,,,,,,,,
GameMaker: 3D Game Dev w/ Unity & Unreal,Unity,Unreal,,,,,,,,,,,,,
Gamemaker: 3D Game Dev w/Unity and Unreal,Unity,Unreal,,,,,,,,,,,,,
Gamemaker: 3D Game Dev with Unity & Unreal,Unity,Unreal,,,,,,,,,,,,,
GameMaker: 3D Game Dev. with Untity & Unreal,Unity,Unreal,,,,,,,,,,,,,
GameMaker: 3D Game Development with Unity & Unreal,Unity,Unreal,,,,,,,,,,,,,
GameMaker:3D GameDev w Unity & Unreal,Unity,Unreal,,,,,,,,,,,,,
Lego Battlebots,Mindstorm Robotics,,,,,,,,,,,,,,
LEGO Engineering: Jedi & Superhero,Jedi Engineering,Superhero Engineering,,,,,,,,,,,,,
LEGO Engineering: Jedi & Superhero City,Jedi Engineering,Superhero Engineering,,,,,,,,,,,,,
LEGO Engineering: Jedi & Superheros,Jedi Engineering,Superhero Engineering,,,,,,,,,,,,,
LEGO Engineering: Jedi Academy,Jedi Engineering,,,,,,,,,,,,,,
LEGO Engineering: Medieval & Modern,Medieval Machines,Modern Machines,,,,,,,,,,,,,
LEGO Engineering: Medieval & Modern Machines,Medieval Machines,Modern Machines,,,,,,,,,,,,,
LEGO Engineering: Medieval Machines,Medieval Machines,Modern Machines,,,,,,,,,,,,,
Lego Engineering: Medieval& Modern Machines,Medieval Machines,Modern Machines,,,,,,,,,,,,,
LEGO Engineering: Modern & Medieval Machines,Medieval Machines,Modern Machines,,,,,,,,,,,,,
LEGO Engineering: Modern Machines,Modern Machines,,,,,,,,,,,,,,
LEGO Engineering: Superhero City,Superhero Engineering,,,,,,,,,,,,,,
LEGO: Medieval & Modern Machines,Medieval Machines,Modern Machines,,,,,,,,,,,,,
Minecraft University: Advanced Modding,mCreator,,,,,,,,,,,,,,
Minecraft University: Circuits & Electronics,Redstone,,,,,,,,,,,,,,
Minecraft University: Circuits and Electronics,Redstone,,,,,,,,,,,,,,
Minecraft University: Circuits&Electronics,Redstone,,,,,,,,,,,,,,
Minecraft University: Python Modding,Minecraft Python Modding,,,,,,,,,,,,,,
Minecraft University: Python University,Minecraft Python Modding,,,,,,,,,,,,,,
Minecraft: Advanced Modding,mCreator,,,,,,,,,,,,,,
Minecraft: Python Modding,Minecraft Python Modding,,,,,,,,,,,,,,
Movie Makers Camp,VFX,Filmmaking,,,,,,,,,,,,,
Robo Revolution,Mindstorm Robotics,Drones,,,,,,,,,,,,,
Robo Revolution & YouTube Masters,Mindstorm Robotics,Drones,Youtube,,,,,,,,,,,,
S.T.E.A.M Studio: 3D Printing & Laser Cutting (Grades 4-6),Laser Cutting,3D Printing,,,,,,,,,,,,,
S.T.E.A.M Studio: 3D Printing & Laser Cutting (Grades 7-12),Laser Cutting,3D Printing,,,,,,,,,,,,,
S.T.E.A.M. Studio: Youtube&Moviemaking Master,Youtube,VFX,,,,,,,,,,,,,
STEAM Camp,?,,,,,,,,,,,,,,
STEAM Studio: 3D Printing,3D Printing,,,,,,,,,,,,,,
STEAM Studio: 3D Printing & Laser Cutting,Laser Cutting,3D Printing,,,,,,,,,,,,,
STEAM Studio: 3D Printing & Laser Cutting (4-6),Laser Cutting,3D Printing,,,,,,,,,,,,,
"STEAM Studio: 3D Printing & Laser Cutting (Grades: 3,4,5)",Laser Cutting,3D Printing,,,,,,,,,,,,,
"STEAM Studio: 3D Printing & Laser Cutting (Grades: 6,7,8)",Laser Cutting,3D Printing,,,,,,,,,,,,,
"STEAM Studio: Rocketry (Grades: 3,4,5)",Rocketry,KSP,,,,,,,,,,,,,
"STEAM Studio: Rocketry (Grades: 6,7,8)",Rocketry,KSP,Solid Fuel Rockets,,,,,,,,,,,,
STEAM Studio: Youtube & Moviemaking,Youtube,VFX,,,,,,,,,,,,,
STEAM Studio: Youtube & Moviemaking Masters,Youtube,VFX,,,,,,,,,,,,,
"STEAM Studio: Youtube & Moviemaking Masters (Grades: 3, 4, 5)",Youtube,VFX,,,,,,,,,,,,,
"STEAM Studio: Youtube & Moviemaking Masters (Grades: 6,7,8)",Youtube,VFX,,,,,,,,,,,,,
STEM Studio: Youtube & Moviemaking Masters,Youtube,VFX,,,,,,,,,,,,,
Super Scientists Squared,Natural Disasters,Put the A in STEAM Day,Hydraulics,Water,Circuitry,Spy Day,Air,,,,,,,,
VEX Robotics & Code Academy,VEX,?,,,,,,,,,,,,,
VEX Robotics: Botsports,VEX,,,,,,,,,,,,,,
Young Einstein's: CODEKids,Tablet Coding,Kodu,Scratch,,,,,,,,,,,,
Young Einstein's: CodeKIDS!,Tablet Coding,Kodu,Scratch,,,,,,,,,,,,
